OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Tenericutes	247.495441721	2.2546560644e-52	9.46955547048e-51	9.46955547048e-51	0.00673638064543	9.79130612988e-05	7.43829346465e-06	0.0244843427229	0.000236711613613
k__Archaea;p__Euryarchaeota	227.030308133	5.7525173637e-48	1.20802864638e-46	2.41605729276e-46	0.000428268373118	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres	209.048341263	4.25678207126e-44	5.95949489977e-43	1.78784846993e-42	2.07042982688e-06	0.0	0.0	0.00869679194198	0.0
k__Bacteria;p__Bacteroidetes	188.229343273	1.27281403377e-39	1.33645473546e-38	5.34581894184e-38	0.228591610961	0.028828066234	0.138687985764	0.402741324794	0.0576575002709
k__Bacteria;p__Actinobacteria	185.311430535	5.39098877507e-39	4.52843057106e-38	2.26421528553e-37	0.0366645539616	0.0983197904753	0.067185474876	0.000528755859083	0.0336788913695
k__Bacteria;p__Proteobacteria	181.987394349	2.79059943731e-38	1.95341960612e-37	1.17205176367e-36	0.178008648228	0.751296153745	0.706964421909	0.0519208080082	0.745250241188
k__Bacteria;p__OD1	172.979327903	2.39868352744e-36	1.43921011646e-35	1.00744708152e-34	0.0	0.00329093278519	0.000174759561842	0.0	0.00189152085839
k__Bacteria;p__Firmicutes	152.963181055	4.71699910735e-32	2.47642453136e-31	1.98113962509e-30	0.508188701973	0.108446425591	0.0852771000067	0.455787913635	0.152839396681
k__Bacteria;p__TM7	145.932552454	1.51419784807e-30	6.5700576066e-30	6.35963096191e-29	3.9131991545e-05	0.00245605431686	7.04052907697e-06	0.0117148059335	0.000815791583946
k__Bacteria;p__Spirochaetes	145.866555498	1.56429943014e-30	6.5700576066e-30	6.5700576066e-29	0.0242488577627	0.000297888956426	0.0	0.0317044612148	0.00017746009592
k__Bacteria;p__Lentisphaerae	138.476097424	5.98232419267e-29	2.28416014629e-28	2.51257616092e-27	0.00142847436727	0.0	0.0	5.41711809317e-05	6.91163217657e-05
k__Bacteria;p__Verrucomicrobia	107.87667409	2.06420757638e-22	7.22472651733e-22	8.6696718208e-21	0.011025819481	0.000514321256356	2.499443111e-05	0.00691866820149	0.00117919027407
k__Bacteria;p__GN02	83.7454084945	2.79960319887e-17	9.04487187327e-17	1.17583334353e-15	4.40103653212e-07	0.00110342556558	2.64836439749e-05	0.0	0.000951328394639
k__Bacteria;p__Cyanobacteria	73.0966418724	5.03334171555e-15	1.51000251467e-14	2.11400352053e-13	0.00244442598713	0.000478436674178	0.000306250266312	0.00358675170031	0.000934624130812
k__Bacteria;p__Fibrobacteres	64.8975025415	2.70437110802e-13	7.57223910246e-13	1.13583586537e-11	0.00103695299894	0.000131756965784	0.0	0.00113992750998	0.000309943978918
k__Bacteria;p__WPS-2	64.7207441717	2.9464552985e-13	7.73444515856e-13	1.23751122537e-11	2.71583848382e-05	0.0	0.0	0.0	3.42492722422e-05
k__Bacteria;p__OP11	53.3957481395	7.04217882912e-11	1.7398324166e-10	2.95771510823e-09	4.40103653212e-07	0.00137280008319	0.0	0.0	0.000340858283467
k__Bacteria;p__Acidobacteria	49.705775638	4.15946067374e-10	9.70540823874e-10	1.74697348297e-08	0.000138937833567	0.000871128738799	0.000442977679871	0.0	0.00127330395639
